icsd_id,formula,Final_label,group name,color,x,y
199329,Cu4 S8,32,All other groups,#BCBD22,-21.549763,23.88548
74218,Fe2.4 Cu1.6 S8,32,All other groups,#BCBD22,-22.847084,22.654694
74217,Fe1 Cu3 S8,32,All other groups,#BCBD22,-23.06456,23.937704
628836,Cu4 Se4 S4,32,All other groups,#BCBD22,-21.07769,23.456614
627924,Cu2.6 Hg1.4 S8,32,All other groups,#BCBD22,-22.132292,25.128069
628979,Zn0.8 Cu3.2 S8,32,All other groups,#BCBD22,-22.196955,24.626968
627339,Fe1 Cu3 S8,32,All other groups,#BCBD22,-23.073383,23.953316
422796,Ba1 Cu5.9232 Te6.014 S0.986,-1,No group,#17becf,4.9288807,11.878796
267278,Cs3.5952 Cu8 Ge6 S18,-1,No group,#17becf,4.5174646,-9.674942
167009,Cu0.084 Ag27.916 Sb0.456 As3.544 S24,46,All other groups,#BCBD22,19.074713,12.140316
628639,Cu28 P4 S24,46,All other groups,#BCBD22,19.117376,12.165671
94998,Cu24 Si4 Hg3.892 S23.892,46,All other groups,#BCBD22,19.751228,11.521542
94964,Cu24 Hg3.68 Ge4 S23.68,46,All other groups,#BCBD22,19.816776,11.3965645
628847,Cu32.04 Si4 S24,-1,No group,#17becf,13.566875,12.2978525
32105,Cu6 S6,21,All other groups,#BCBD22,4.1929984,-11.449769
95397,Cu4.0002 S2,-1,No group,#17becf,15.006761,19.304083
628470,Nb2 Cu1 S4,47,All other groups,#BCBD22,-37.433575,-0.82845646
200986,Cu3.9996 S2,-1,No group,#17becf,13.894793,19.466766
20560,Cu4 S2,-1,No group,#17becf,11.379942,20.20825
253870,Ba2 Ta1.3332 Cu0.6668 S6,-1,No group,#17becf,-39.935856,1.1223255
53314,Nb2 Cu1.3 S4,-1,No group,#17becf,-36.622406,-1.7695844
796,Na3.3 S2 O7.998,-1,No group,#17becf,10.847215,-32.154774
30402,Ta2 Cu1.3 S4,47,All other groups,#BCBD22,-37.490112,-1.1170397
24586,Cu6 S6,-1,No group,#17becf,17.83855,12.683276
