icsd,formula,PTR_label,LoStOP_label,Final PTR,Final cosine,Final Euclid,material_id,formation_energy,band_gap,bulk_modulus
433152,Ti4 Cu4 P4 S20,0,-1,-1,0,-1,,,,
5076,Mg0.43 Al1.2 Cu0.32 H28 S2 Cl1 O22,-1,-1,20,1,3,,,,
194352,Gd2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
26804,Tl2 Cu2 As4 Pb2 S10,-1,-1,-1,-1,-1,,,,
194357,Tm2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
69427,Cu1.6 Bi4.8 S8,11,-1,-1,0,1,,,,
253306,Na2 Cu1 Se0.75 S1.25 O10,0,32,14,1,3,,,,
66660,Cu12 As8 S18,0,-1,36,0,1,mp-28717,-0.513969509,0.3527,
236895,Cu12 As8 S18,0,33,36,0,1,mp-28717,-0.513969509,0.3527,
156178,U8 S4,-1,-1,-1,-1,-1,,,,
5275,Fe6.4 Cu1.6 Rh16 S32,16,34,23,0,1,,,,
53109,Hf8 Cr8 Cu8 S32,0,34,23,0,1,,,,
41424,Cr1.6 Cu1.6 Sn14.4 S32,-1,34,23,0,1,,,,
625771,Cr16 Cu8 Se16 S16,-1,34,23,0,1,,,,
659111,Cr16 Cu8 S32,0,34,23,0,1,mp-22803,-0.772093563,0,
9980,Cr9.792 Cu8 Sn6.208 Se14.848 S17.152,0,34,23,0,1,,,,
120120,V16 Zn1.6 Cu6.4 S32,0,34,23,0,1,,,,
656170,Mn6.4 Cr16 Cu1.6 S32,0,34,23,0,1,,,,
600703,Cr16 Fe4 Cu4 S32,0,34,23,0,1,,,,
622455,Cr16 Co4 Cu4 S32,0,34,23,0,1,,,,
628060,In20 Cu4 S32,17,34,23,0,1,,,,
622571,Co16 Cu8 S32,0,34,23,0,1,mp-3925,-0.79876963,0,
41767,Cr8 Cu8 Sn8 Se19.2 S12.8,0,34,23,0,1,,,,
605027,In8 Cu4 Ag4 Sn8 S32,0,34,23,0,1,,,,
622564,Co16 Cu4 Ni4 S32,0,34,23,0,1,,,,
21933,Mg7.12 Zr16 Cu0.504 S32,18,35,37,8,20,,,,
41902,Cu8 Rh16 Se19.2 S12.8,0,34,23,0,1,,,,
157780,Cr16 Fe7.2 Cu0.8 S32,0,34,23,0,1,,,,
5276,Fe7.2 Cu0.8 Rh16 S32,16,34,23,0,1,,,,
156366,Cu16 Hg16 S8 F48,-1,-1,-1,-1,-1,mp-6820,-1.601856798,0,
10035,V16 Cu8 S32,0,34,23,0,1,mp-5178,-1.102941873,0,
186534,Ti11.84 Fe4.16 Cu8 S32,0,34,23,0,1,,,,
52944,Co12 Cu4 Sn8 S32,-1,34,23,0,1,,,,
52621,Al8 Cu8 Sn8 S32,0,34,23,0,1,,,,
426370,Ti13.6 Mn2.4 Cu8 S32,0,34,23,0,1,,,,
30061,Cr16 Ga4 Cu4 S32,0,34,23,0,1,,,,
622458,Cr16 Co4.4 Cu3.6 Se4 S28,0,34,23,0,1,,,,
35268,Ti8 V8 Cu8 S32,0,34,23,0,1,,,,
622462,Cr16 Co4.4 Cu3.6 Se6.4 S25.6,0,34,23,0,1,,,,
21931,Mg3.2 Zr16 Cu0.504 S32,-1,35,37,8,20,,,,
622451,Cr16 Fe2 Co4 Cu2 S32,0,34,23,0,1,,,,
164925,Cr16 In4 Cu4 S32,0,34,23,0,1,,,,
66723,Cr16 Cd7.6 Cu0.4 S32,19,34,23,0,1,,,,
35273,Al20 Cu4 S32,-1,34,23,0,1,,,,
56265,Co2.4 Cu8 Ir5.6 Pt8 S32,0,34,23,0,1,,,,
426374,Ti12 Co4 Cu8 S32,0,34,23,0,1,,,,
202756,Li7.4 Ti16 Cu0.3 S32,-1,35,-1,8,20,,,,
170227,Ti16 Cu8 S32,0,34,23,0,1,mp-3951,-1.530152325,0,
625795,Zr8 Cr8 Cu8 S32,0,34,23,0,1,,,,
161905,Ti8 Cr8 Cu8 S32,0,34,23,0,1,,,,
75531,Cu8 Ir16 S32,0,34,23,0,1,mp-15065,-0.75336575,0,
625719,Cr16 Fe4 Cu2 Ni2 S32,0,34,23,0,1,,,,
200551,In1.6 Cu1.6 Sn14.4 S32,-1,34,23,0,1,,,,
605026,In20 Cu2 Ag2 S32,17,34,23,0,1,,,,
41422,Cr8 Cu8 Sn8 S32,0,34,23,0,1,,,,
41766,Cr8 Cu8 Sn8 Se11.2 S20.8,0,34,23,0,1,,,,
186535,Zr12.32 Fe3.68 Cu8 S32,0,34,23,0,1,,,,
21935,Mg4.32 Zr16 Cu0.504 S32,-1,35,37,8,20,,,,
625726,Cr16 Fe4 Cu4 Se9.6 S22.4,-1,34,23,0,1,,,,
8215,Fe2 Cu4 Sn6 S16,0,34,23,0,1,,,,
426372,Ti12 Fe4 Cu8 S32,0,34,23,0,1,,,,
202882,Ti16 Cu0.3 S32,-1,34,23,0,1,,,,
66726,Cr16 Cd6.4 Cu1.6 S32,19,34,23,0,1,,,,
21937,Mg5.92 Zr16 Cu0.504 S32,-1,35,37,8,20,,,,
291003,Cr16 Cu8 S32,0,34,23,0,1,mp-22803,-0.772093563,0,
31107,Co16 Cu8 S32,0,34,23,0,1,mp-3925,-0.79876963,0,
625769,Cr16 Cu8 S32,0,34,23,0,1,mp-22803,-0.772093563,0,
95603,Cu7.072 Ni4 Sn12 S32,0,34,23,0,1,,,,
107613,Co8 Cu8 Ni8 S32,0,34,23,0,1,,,,
625742,Mn1.6 Cr16 Cu6.4 S32,0,34,23,0,1,,,,
628774,Cu8 Rh16 Se25.6 S6.4,-1,34,23,0,1,,,,
157781,Cr16 Fe6.4 Cu1.6 S32,0,34,23,0,1,,,,
606973,Al16 In4 Cu4 S32,-1,34,23,0,1,,,,
94011,Ti16 Cu5.216 S32,0,34,23,0,1,,,,
106946,Li6 In20.016 Cu4 S32,-1,35,-1,8,20,,,,
5272,Fe4.8 Cu3.2 Rh16 S32,16,34,23,0,1,,,,
69171,Li14.08 Ti16.4 Cu0.632 S32,-1,35,-1,8,20,,,,
41425,Cr4.8 Cu4.8 Sn11.2 S32,0,34,23,0,1,,,,
426373,Ti13.6 Co2.4 Cu8 S32,0,34,23,0,1,,,,
9934,Cr8.224 Cu8 Sn7.776 Se15.008 S16.992,0,34,23,0,1,,,,
625758,Cr16 Cu8 S32,0,34,23,0,1,mp-22803,-0.772093563,0,
628767,Cu8 Rh16 S32,0,34,23,0,1,mp-15613,-0.815887474,0,
156091,Ti12 Mn4 Cu8 S32,0,34,23,0,1,,,,
625773,Cr16 Cu8 Se19.2 S12.8,-1,34,23,0,1,,,,
622452,Cr16 Co4.4 Cu3.6 S32,0,34,23,0,1,,,,
21929,Zr16 Cu0.504 S32,-1,34,23,0,1,,,,
622460,Cr16 Co4.4 Cu3.6 Se8 S24,0,34,23,0,1,,,,
53291,In8 Cu8 Sn8 S32,0,34,23,0,1,,,,
259624,Ti12 Co4 Cu4.96 S32,0,34,23,0,1,,,,
5274,Fe5.6 Cu2.4 Rh16 S32,16,34,23,0,1,,,,
44609,Ti16 Cu8 S32,0,34,23,0,1,mp-3951,-1.530152325,0,
157783,Cr16 Fe4.8 Cu3.2 S32,0,34,23,0,1,,,,
157782,Cr16 Fe5.6 Cu2.4 S32,0,34,23,0,1,,,,
202757,Li15.504 Ti16 Cu0.304 S32,-1,-1,-1,-1,-1,,,,
259622,Ti12 Co4 Cu7.68 S32,0,34,23,0,1,,,,
607087,Al6.56 Cu6.56 Sn9.44 S32,-1,34,23,0,1,,,,
41427,Cr9.6 Cu8 Sn6.4 S32,0,34,23,0,1,,,,
52938,Cr16 Co4.4 Cu3.6 Se8 S24,0,34,23,0,1,,,,
5273,Fe5.2 Cu2.8 Rh16 S32,16,34,23,0,1,,,,
622572,Co20 Cu4 S32,0,34,23,0,1,,,,
41423,Ti9.6 Cr6.4 Cu6.4 S32,0,34,23,0,1,,,,
35272,In7 Cu7 Sn9 S32,0,34,23,0,1,,,,
64789,Fe12 Cu4 Sn8 S32,-1,34,23,0,1,,,,
21939,Mg6.88 Zr16 Cu0.504 S32,18,35,37,8,20,,,,
164924,Cr16 Ga4 Cu4 S32,0,34,23,0,1,,,,
625775,Cr16 Cu8 Te28 Se2.016 S1.984,-1,34,23,0,1,,,,
53319,Cu4 Ni10 Sn10 S32,0,34,23,0,1,,,,
52945,Co10 Cu4 Sn10 S32,-1,34,23,0,1,,,,
201856,Cr10.4 Cu8.8 Sn5.6 S31.2,0,35,-1,8,20,,,,
625792,V8 Cr8 Cu8 S32,0,34,23,0,1,,,,
21938,Mg7.6 Zr16 Cu0.504 S32,18,35,37,8,20,,,,
53260,Fe4 Cu4 Rh16 S32,16,34,23,0,1,,,,
66724,Cr16 Cd7.2 Cu0.8 S32,19,34,23,0,1,,,,
628770,Cu8 Rh16 Se3.2 S28.8,0,34,23,0,1,,,,
106945,Li4 In20 Cu4 S32,-1,35,-1,8,20,,,,
